year,race_label,lender_type,avg_interest_rate
2018,Asian,Bank,4.679610148236231
2018,Asian,Non-Bank,4.5966739356409265
2018,Black,Bank,7.079852451521362
2018,Black,Non-Bank,5.978828048999268
2018,White,Bank,5.295217627277926
2018,White,Non-Bank,5.519533728913479
2019,Asian,Bank,4.148406188824431
2019,Asian,Non-Bank,4.412916331437257
2019,Black,Bank,4.405103024767504
2019,Black,Non-Bank,4.550485305328636
2019,White,Bank,4.298897843745629
2019,White,Non-Bank,4.494266911949095
2020,Asian,Bank,3.1094719561318476
2020,Asian,Non-Bank,3.229251045371344
2020,Black,Bank,3.3000947604591895
2020,Black,Non-Bank,3.498072480303942
2020,White,Bank,3.265313291553552
2020,White,Non-Bank,3.8833083037282745
2021,Asian,Bank,2.9620397320371596
2021,Asian,Non-Bank,3.0709132099255614
2021,Black,Bank,3.162227936324525
2021,Black,Non-Bank,3.295411869801112
2021,White,Bank,3.0888805441287133
2021,White,Non-Bank,3.220261704334866
2022,Asian,Bank,4.858704613583302
2022,Asian,Non-Bank,4.766927840498348
2022,Black,Bank,5.0726283256767655
2022,Black,Non-Bank,5.040587084444757
2022,White,Bank,5.007297663986053
2022,White,Non-Bank,4.951792252355098
2023,Asian,Bank,6.602154510378124
2023,Asian,Non-Bank,6.4969027608541206
2023,Black,Bank,6.669164997990211
2023,Black,Non-Bank,6.6614713762465785
2023,White,Bank,6.649319740109992
2023,White,Non-Bank,6.637275292615307
2024,Asian,Bank,6.581531703786993
2024,Asian,Non-Bank,6.59524192568935
2024,Black,Bank,6.7542284888664
2024,Black,Non-Bank,6.742094548569445
2024,White,Bank,6.714900430260141
2024,White,Non-Bank,6.7478703879210205
