activity_year,bank_name,race_label,total_applications,approvals,approval_rate
2018,Bank of America,Asian,5514,4339,0.7869060573086688
2018,Bank of America,Black,1627,1226,0.7535341118623233
2018,Bank of America,Native American,136,84,0.6176470588235294
2018,Bank of America,Pacific Islander,31,25,0.8064516129032258
2018,Bank of America,White,17250,13371,0.7751304347826087
2018,Citibank,Asian,1558,1380,0.8857509627727856
2018,Citibank,Black,841,700,0.8323424494649228
2018,Citibank,Native American,23,17,0.7391304347826086
2018,Citibank,Pacific Islander,9,8,0.8888888888888888
2018,Citibank,White,2983,2576,0.8635601743211532
2018,JPMorgan Chase,Asian,7155,6390,0.8930817610062893
2018,JPMorgan Chase,Black,1942,1580,0.8135942327497425
2018,JPMorgan Chase,Native American,269,209,0.7769516728624535
2018,JPMorgan Chase,Pacific Islander,53,47,0.8867924528301887
2018,JPMorgan Chase,White,29832,26600,0.8916599624564227
2018,Wells Fargo,Asian,6472,5604,0.8658838071693449
2018,Wells Fargo,Black,3321,2539,0.7645287563986751
2018,Wells Fargo,Native American,413,324,0.784503631961259
2018,Wells Fargo,Pacific Islander,87,76,0.8735632183908046
2018,Wells Fargo,White,46448,41054,0.8838701343437823
2019,Bank of America,Asian,6183,5007,0.8098010674429889
2019,Bank of America,Black,2598,2063,0.7940723633564281
2019,Bank of America,Native American,174,117,0.6724137931034483
2019,Bank of America,Pacific Islander,38,25,0.6578947368421053
2019,Bank of America,White,19905,15889,0.7982416478271791
2019,Citibank,Asian,1625,1445,0.8892307692307693
2019,Citibank,Black,252,173,0.6865079365079365
2019,Citibank,Native American,17,12,0.7058823529411765
2019,Citibank,Pacific Islander,5,4,0.8
2019,Citibank,White,2801,2449,0.8743305962156372
2019,JPMorgan Chase,Asian,3986,3482,0.8735574510787757
2019,JPMorgan Chase,Black,2000,1663,0.8315
2019,JPMorgan Chase,Native American,231,179,0.7748917748917749
2019,JPMorgan Chase,Pacific Islander,25,21,0.84
2019,JPMorgan Chase,White,27720,24917,0.8988816738816738
2019,Wells Fargo,Asian,5939,5125,0.8629398888701801
2019,Wells Fargo,Black,3272,2470,0.7548899755501223
2019,Wells Fargo,Native American,464,358,0.771551724137931
2019,Wells Fargo,Pacific Islander,73,57,0.7808219178082192
2019,Wells Fargo,White,43884,38602,0.879637225412451
2020,Bank of America,Asian,3429,2614,0.7623213764946049
2020,Bank of America,Black,3100,2406,0.7761290322580645
2020,Bank of America,Native American,143,95,0.6643356643356644
2020,Bank of America,Pacific Islander,31,22,0.7096774193548387
2020,Bank of America,White,15448,11971,0.7749223200414294
2020,Citibank,Asian,1681,1522,0.9054134443783463
2020,Citibank,Black,270,209,0.774074074074074
2020,Citibank,Native American,15,13,0.8666666666666667
2020,Citibank,Pacific Islander,3,2,0.6666666666666666
2020,Citibank,White,3110,2751,0.8845659163987138
2020,JPMorgan Chase,Asian,2684,2394,0.8919523099850969
2020,JPMorgan Chase,Black,1255,1048,0.8350597609561753
2020,JPMorgan Chase,Native American,154,114,0.7402597402597403
2020,JPMorgan Chase,Pacific Islander,9,7,0.7777777777777778
2020,JPMorgan Chase,White,18886,17078,0.904267711532352
2020,Wells Fargo,Asian,5616,4794,0.8536324786324786
2020,Wells Fargo,Black,2841,2073,0.7296726504751848
2020,Wells Fargo,Native American,408,304,0.7450980392156863
2020,Wells Fargo,Pacific Islander,43,36,0.8372093023255814
2020,Wells Fargo,White,38234,33202,0.8683893916409479
2021,Bank of America,Asian,4114,3310,0.8045697617890131
2021,Bank of America,Black,3262,2523,0.7734518700183937
2021,Bank of America,Native American,149,94,0.6308724832214765
2021,Bank of America,Pacific Islander,21,19,0.9047619047619048
2021,Bank of America,White,15616,12389,0.7933529713114754
2021,Citibank,Asian,1666,1515,0.9093637454981993
2021,Citibank,Black,196,142,0.7244897959183674
2021,Citibank,Native American,14,10,0.7142857142857143
2021,Citibank,Pacific Islander,4,3,0.75
2021,Citibank,White,2465,2189,0.8880324543610547
2021,JPMorgan Chase,Asian,3623,3335,0.9205078664090532
2021,JPMorgan Chase,Black,1824,1560,0.8552631578947368
2021,JPMorgan Chase,Native American,218,183,0.8394495412844036
2021,JPMorgan Chase,Pacific Islander,11,8,0.7272727272727273
2021,JPMorgan Chase,White,21255,19593,0.9218066337332392
2021,Wells Fargo,Asian,5292,4626,0.8741496598639455
2021,Wells Fargo,Black,2655,1874,0.7058380414312617
2021,Wells Fargo,Native American,395,278,0.7037974683544304
2021,Wells Fargo,Pacific Islander,47,36,0.7659574468085106
2021,Wells Fargo,White,29208,25328,0.8671596822788277
2022,Bank of America,Asian,3990,3052,0.7649122807017544
2022,Bank of America,Black,2680,1956,0.7298507462686568
2022,Bank of America,Native American,175,111,0.6342857142857142
2022,Bank of America,Pacific Islander,15,10,0.6666666666666666
2022,Bank of America,White,13154,10064,0.7650904667781664
2022,Citibank,Asian,1608,1459,0.9073383084577115
2022,Citibank,Black,225,156,0.6933333333333334
2022,Citibank,Native American,7,5,0.7142857142857143
2022,Citibank,Pacific Islander,3,1,0.3333333333333333
2022,Citibank,White,2241,2007,0.8955823293172691
2022,JPMorgan Chase,Asian,3100,2806,0.9051612903225806
2022,JPMorgan Chase,Black,2202,1859,0.8442325158946412
2022,JPMorgan Chase,Native American,228,197,0.8640350877192983
2022,JPMorgan Chase,Pacific Islander,14,13,0.9285714285714286
2022,JPMorgan Chase,White,20183,18433,0.9132933657038101
2022,Wells Fargo,Asian,4033,3294,0.8167617158442847
2022,Wells Fargo,Black,2149,1485,0.6910190786412285
2022,Wells Fargo,Native American,309,230,0.7443365695792881
2022,Wells Fargo,Pacific Islander,18,12,0.6666666666666666
2022,Wells Fargo,White,22241,19102,0.858864259700553
2023,Bank of America,Asian,2659,1985,0.7465212485896954
2023,Bank of America,Black,2390,1672,0.699581589958159
2023,Bank of America,Native American,219,139,0.634703196347032
2023,Bank of America,Pacific Islander,17,12,0.7058823529411765
2023,Bank of America,White,10301,7398,0.7181827007086691
2023,Citibank,Asian,1952,1820,0.9323770491803278
2023,Citibank,Black,284,214,0.7535211267605634
2023,Citibank,Native American,14,7,0.5
2023,Citibank,Pacific Islander,11,9,0.8181818181818182
2023,Citibank,White,2592,2379,0.9178240740740741
2023,JPMorgan Chase,Asian,3514,3130,0.8907228229937393
2023,JPMorgan Chase,Black,2356,2008,0.8522920203735145
2023,JPMorgan Chase,Native American,219,184,0.8401826484018264
2023,JPMorgan Chase,Pacific Islander,28,23,0.8214285714285714
2023,JPMorgan Chase,White,18436,16663,0.9038294640919939
2023,Wells Fargo,Asian,2234,1906,0.8531781557743957
2023,Wells Fargo,Black,1277,937,0.7337509788566954
2023,Wells Fargo,Native American,149,117,0.785234899328859
2023,Wells Fargo,Pacific Islander,13,11,0.8461538461538461
2023,Wells Fargo,White,12066,10520,0.8718713741090668
2024,Bank of America,Asian,2662,2102,0.7896318557475582
2024,Bank of America,Black,2394,1756,0.733500417710944
2024,Bank of America,Native American,230,139,0.6043478260869565
2024,Bank of America,Pacific Islander,17,12,0.7058823529411765
2024,Bank of America,White,9388,6994,0.7449936088623775
2024,Citibank,Asian,1901,1753,0.9221462388216728
2024,Citibank,Black,249,182,0.7309236947791165
2024,Citibank,Native American,8,7,0.875
2024,Citibank,Pacific Islander,7,3,0.42857142857142855
2024,Citibank,White,2464,2195,0.890827922077922
