lei_number,url,Legal Name,Language Code,Other Entity Names,Legal Address (English),Headquarters Address (English),Legal Jurisdiction Country,Legal Jurisdiction Region,Registration Authority,Registration Authority ID,Registration Authority Entity ID,Entity Legal Form Code,Entity Category,Entity Status,Entity Creation Date
549300DD4R4SYK5RAQ92,https://lei.bloomberg.com/leis/view/549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",en,"Other Entity Name 1
Name
NEW AMERICAN MORTGAGE LLC
Type
PREVIOUS_LEGAL_NAME","C/O CORPORATION SERVICE COMPANY
251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES","8024 Calvin Hall Road
Indian Land
Lancaster, South Carolina (US-SC), 29707
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",4396719,Limited Liability Company (HZEH),GENERAL,ACTIVE,2007-07-26 00:00:00
2549002H3CEW0748X068,https://lei.bloomberg.com/leis/view/2549002H3CEW0748X068,The First National Bank of Brooksville,en,,"105 Locust St
Brooksville, Kentucky (US-KY), 41004
UNITED STATES","105 Locust St
Brooksville, Kentucky (US-KY), 41004
UNITED STATES",UNITED STATES (US),Kentucky (US-KY),,Federal Deposit Insurance Corporation (RA000744),2682,Commercial Bank (NJ57),GENERAL,ACTIVE,1907-07-07 00:00:00
254900II3J6G6WWO1O83,https://lei.bloomberg.com/leis/view/254900II3J6G6WWO1O83,Unity Catholic Federal Credit Union,en,,"5839 Ridge Rd
Parma, Ohio (US-OH), 44129-3165
UNITED STATES","5839 Ridge Rd
Parma, Ohio (US-OH), 44129-3165
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),4966,Credit Union (14OD),GENERAL,ACTIVE,"1942-01-01 00:00:00
Website
www.unitycatholiccu.org"
RVDPPPGHCGZ40J4VQ731,https://lei.bloomberg.com/leis/view/RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",en,,"C/O THE CORPORATION TRUST COMPANY
CORPORATION TRUST CENTER
1209 ORANGE ST
WILMINGTON, Delaware (US-DE), 19801
UNITED STATES","3043 Townsgate Road
Suite 200
Westlake Village, California (US-CA), 91361
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",4509384,Limited Liability Company (HZEH),GENERAL,ACTIVE,2008-02-25 00:00:00
549300RP4LE08QWSLQ50,https://lei.bloomberg.com/leis/view/549300RP4LE08QWSLQ50,Gateway Bank,en,,"112 Main Street
Rison, Arkansas (US-AR), 71665
UNITED STATES","PO Box 345
112 Main Street
Rison, Arkansas (US-AR), 71665
UNITED STATES",UNITED STATES (US),Arkansas (US-AR),,Federal Deposit Insurance Corporation (RA000744),8730,"Other (8888)
Other Legal Form
BANK",GENERAL,ACTIVE,1932-01-01 00:00:00
549300214PKB2Y1ZWH75,https://lei.bloomberg.com/leis/view/549300214PKB2Y1ZWH75,Mid-America Bank,en,"Other Entity Name 1
Name
Mid America Bank
Type
PREVIOUS_LEGAL_NAME","802 Ames Street
Douglas County
Baldwin City, Kansas (US-KS), 66006
UNITED STATES","Po Box 4
802 Ames Street
Baldwin City, Kansas (US-KS), 66006
UNITED STATES",UNITED STATES (US),Kansas (US-KS),,Federal Deposit Insurance Corporation (RA000744),17374,"No ELF code for this entity (9999)
Other Legal Form
BANK",GENERAL,ACTIVE,
254900QQIJN4KR6ZBW98,https://lei.bloomberg.com/leis/view/254900QQIJN4KR6ZBW98,CITIZENS BANK OF ROGERSVILLE,en,,"1001 W Center St
Rogersville, Missouri (US-MO), 65742
UNITED STATES","1001 W Center St
PO Box 50
Rogersville, Missouri (US-MO), 65742
UNITED STATES",UNITED STATES (US),Missouri (US-MO),,Federal Deposit Insurance Corporation (RA000744),8572,Commercial Bank (J1JO),GENERAL,ACTIVE,"1908-01-01 00:00:00
Website
cbofr.com"
B4TYDEB6GKMZO031MB27,https://lei.bloomberg.com/leis/view/B4TYDEB6GKMZO031MB27,"Bank of America, National Association",en,,"100 North Tryon Street
Charlotte, North Carolina (US-NC), 28202
UNITED STATES","100 North Tryon Street
Charlotte, North Carolina (US-NC), 28202
UNITED STATES",UNITED STATES (US),North Carolina (US-NC),,Federal Deposit Insurance Corporation (RA000744),3510,Commercial Bank (5AAO),GENERAL,ACTIVE,1904-10-17 00:00:21
549300MSETJUOU1OY757,https://lei.bloomberg.com/leis/view/549300MSETJUOU1OY757,"DAY-MET CREDIT UNION, INC.",en,,"C/O GEORGE M. LEWIS
4988 WAGNER FORD ROAD
DAYTON, Ohio (US-OH), 45414
UNITED STATES","4988 WAGNER FORD ROAD
DAYTON, Ohio (US-OH), 45414
UNITED STATES",UNITED STATES (US),Ohio (US-OH),,(US-OH): Corporation Database (Ohio Secretary of State) (RA000629),267577,Corporation (Nonprofit) (7VK5),GENERAL,ACTIVE,
549300V2YLC1I721HE07,https://lei.bloomberg.com/leis/view/549300V2YLC1I721HE07,F & M BANK CORP.,"en
Legal Address
205 S MAIN ST
P O BOX 1111
TIMBERVILLE, Virginia (US-VA), 22853
UNITED STATES
Headquarters Address
205 S MAIN ST
P O BOX 1111
TIMBERVILLE, Virginia (US-VA), 22853
UNITED STATES",,,,UNITED STATES (US),Virginia (US-VA),,(US-VA): State Corporation Commission (RA000639),2480150,Stock Corporation (HOV4),GENERAL,ACTIVE,1983-10-26 00:00:00
549300ZW58TM1KU8CK35,https://lei.bloomberg.com/leis/view/549300ZW58TM1KU8CK35,Falcon International Bank,en,,"7718 Mcpherson Rd
Bldg F
Laredo, Texas (US-TX), 78045
UNITED STATES","7718 Mcpherson Rd
Bldg F
Laredo, Texas (US-TX), 78045
UNITED STATES",UNITED STATES (US),Texas (US-TX),,Federal Deposit Insurance Corporation (RA000744),26856,Commercial Bank (HTV5),GENERAL,ACTIVE,1986-12-10 00:00:00
7H6GLXDRUGQFU57RNE97,https://lei.bloomberg.com/leis/view/7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association","en
Legal Address
1111 Polaris Pkwy
Columbus, Ohio (US-OH), 43240
UNITED STATES
Headquarters Address
1111 Polaris Pkwy
Columbus, Ohio (US-OH), 43240
UNITED STATES","Other Entity Name 1
Name
JPMorgan Chase Bank, N.A.
Type
TRADING_OR_OPERATING_NAME",,,UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),628,National Bank (62VJ),GENERAL,ACTIVE,1824-01-01 00:00:00
5493005ES4J6H2VR7264,https://lei.bloomberg.com/leis/view/5493005ES4J6H2VR7264,Security Federal Bank,en,,"238 Richland Ave W
Aiken, South Carolina (US-SC), 29801
UNITED STATES","238 Richland Ave W
Aiken, South Carolina (US-SC), 29801
UNITED STATES",UNITED STATES (US),South Carolina (US-SC),,Federal Deposit Insurance Corporation (RA000744),31100,Commercial Bank (D2EI),GENERAL,ACTIVE,1922-01-01 00:00:00
984500U2F9A83N391A91,https://lei.bloomberg.com/leis/view/984500U2F9A83N391A91,"CHAMPIONS FUNDING, LLC","en
Legal Address
7901 4th St N
STE 300
St. Petersburg, Florida (US-FL), 33702
UNITED STATES
Headquarters Address
365 East Germann Road, Ste 140
Gilbert, Arizona (US-AZ), 89135
UNITED STATES",,,,UNITED STATES (US),Florida (US-FL),,(US-FL): Florida Division of Corporations (RA000603),L13000034676,Limited Liability Company (8N21),GENERAL,ACTIVE,"2013-03-06 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_HQ_ADDRESS
Effective Date
2021-11-03 00:00:00
Recorded Date
2025-01-31 00:00:00
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
549300038578ZJ284Y20,https://lei.bloomberg.com/leis/view/549300038578ZJ284Y20,"SILVER HILL FUNDING, LLC",en,,"C/O CORPORATION SERVICE COMPANY
251 LITTLE FALLS DRIVE
WILMINGTON, Delaware (US-DE), 19808
UNITED STATES","4425 Ponce de Leon Blvd.
Suite 250
Coral Gables, Florida (US-FL), 33146
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",5949251,Limited Liability Company (HZEH),GENERAL,ACTIVE,"2016-01-28 00:00:00
Website
https://silverhillfunding.com/"
549300DUTN4RUBI81Z18,https://lei.bloomberg.com/leis/view/549300DUTN4RUBI81Z18,Lakeside Bank,en,,"55 West Wacker Drive
Chicago, Illinois (US-IL), 60601
UNITED STATES","55 West Wacker Drive
Chicago, Illinois (US-IL), 60601
UNITED STATES",UNITED STATES (US),Illinois (US-IL),,Federal Deposit Insurance Corporation (RA000744),19573,Savings Bank (COKS),GENERAL,ACTIVE,1966-04-01 00:00:00
549300W6OBJ6KNM5Y833,https://lei.bloomberg.com/leis/view/549300W6OBJ6KNM5Y833,Texas Bank,en,,"1120 Us Highway 79 N
Henderson, Texas (US-TX), 75652
UNITED STATES","1120 Us Highway 79 N
Henderson, Texas (US-TX), 75652
UNITED STATES",UNITED STATES (US),Texas (US-TX),,Federal Deposit Insurance Corporation (RA000744),21074,Commercial Bank (HTV5),GENERAL,ACTIVE,"1973-05-05 00:00:00
Website
https://www.texasbnk.com"
894500VAX8CTDV1CWC26,https://lei.bloomberg.com/leis/view/894500VAX8CTDV1CWC26,Texas DPS Credit Union,"en
Legal Address
621 W St. Johns Ave
Austin, Texas (US-TX), 78752
UNITED STATES
Headquarters Address
621 W St. Johns Ave
Austin, Texas (US-TX), 78752
UNITED STATES",,,,UNITED STATES (US),Texas (US-TX),,National Credit Union Administration (RA000745),67511,credit union (828X),RESIDENT_GOVERNMENT_ENTITY,ACTIVE,1954-07-15 23:00:00
254900J9O6LD52M7KM82,https://lei.bloomberg.com/leis/view/254900J9O6LD52M7KM82,COOPERATIVE CHOICE NETWORK CREDIT UINON,en,"Other Entity Name 1
Name
MEMBERS CHOICE CREDIT UNION
Type
PREVIOUS_LEGAL_NAME","3927 N University St
Peoria, Illinois (US-IL), 61614
UNITED STATES","3927 N University St
Peoria, Illinois (US-IL), 61614
UNITED STATES",UNITED STATES (US),,,National Credit Union Administration (RA000745),63783,Credit Union (14OD),GENERAL,ACTIVE,"1935-12-13 00:00:00
Website
www.ccncu.com"
254900WEQ8ITQNQ9AQ74,https://lei.bloomberg.com/leis/view/254900WEQ8ITQNQ9AQ74,"TOTAL QUALITY FINANCIAL, INC.",en,,"C/O CHRISTOPHER PALISKA
3767 HANNAH CT
CARMEL, Indiana (US-IN), 46033
UNITED STATES","630 W CARMEL DR
STE 160
CARMEL, Indiana (US-IN), 46032
UNITED STATES",UNITED STATES (US),Indiana (US-IN),,(US-IN): Business Services Division (Secretary of State) (RA000609),202308081714557,For-Profit Corporation (R0BI),GENERAL,ACTIVE,"2019-11-13 00:00:00
Website
tqfloans.com"
549300D0H09HSURFXA20,https://lei.bloomberg.com/leis/view/549300D0H09HSURFXA20,"FAY SERVICING, LLC",en,,"C/O REGISTERED AGENT SOLUTIONS, INC.
838 WALKER ROAD SUITE 21-2
DOVER, Delaware (US-DE), 19904
UNITED STATES","425 S Financial Place
Suite 2000
Chicago, Illinois (US-IL), 60605
UNITED STATES",UNITED STATES (US),Delaware (US-DE),,"(US-DE): Division of Corporations, Department of State (RA000602)",4528889,Limited Liability Company (HZEH),GENERAL,ACTIVE,"2008-04-02 00:00:00
Legal Entity Events
Legal Entity Event 1
Event Type
CHANGE_LEGAL_ADDRESS
Effective Date
2023-02-09 00:00:00
Recorded Date
2023-02-10 00:01:23
Validation Documents
SUPPORTING_DOCUMENTS
Event Status
COMPLETED"
6BYL5QZYBDK8S7L73M02,https://lei.bloomberg.com/leis/view/6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,en,"Other Entity Name 1
Name
Firstar Bank, National Association
Type
PREVIOUS_LEGAL_NAME","425 Walnut Street
Cincinnati, Ohio (US-OH), 45202
UNITED STATES","425 Walnut Street
Cincinnati, Ohio (US-OH), 45202
UNITED STATES",UNITED STATES (US),,,Federal Deposit Insurance Corporation (RA000744),6548,National Bank (62VJ),GENERAL,ACTIVE,1863-07-12 23:59:40
