state_name,state_political_lean,race,approved,denied,total_applications,approval_rate
Alabama,Republican State,American Indian or Alaska Native,11755,275,12030,97.71
Alabama,Republican State,Asian,1362,31,1393,97.77
Alabama,Republican State,Black,492,14,506,97.23
Alaska,Republican State,American Indian or Alaska Native,1899,29,1928,98.5
Alaska,Republican State,Black,137,2,139,98.56
Alaska,Republican State,White,185,8,193,95.85
Arizona,Republican State,American Indian or Alaska Native,35486,783,36269,97.84
Arizona,Republican State,Asian,1156,27,1183,97.72
Arizona,Republican State,Black,1858,47,1905,97.53
Arizona,Republican State,White,304,7,311,97.75
Arkansas,Republican State,American Indian or Alaska Native,7024,261,7285,96.42
Arkansas,Republican State,Asian,431,17,448,96.21
Arkansas,Republican State,Black,248,11,259,95.75
California,Democratic State,American Indian or Alaska Native,89969,3468,93437,96.29
California,Democratic State,Asian,3989,192,4181,95.41
California,Democratic State,Black,30594,1336,31930,95.82
California,Democratic State,Native Hawaiian,519,24,543,95.58
California,Democratic State,White,942,25,967,97.41
Colorado,Democratic State,American Indian or Alaska Native,32580,1104,33684,96.72
Colorado,Democratic State,Asian,694,24,718,96.66
Colorado,Democratic State,Black,1735,89,1824,95.12
Colorado,Democratic State,White,229,10,239,95.82
Connecticut,Democratic State,American Indian or Alaska Native,10731,242,10973,97.79
Connecticut,Democratic State,Asian,723,23,746,96.92
Connecticut,Democratic State,Black,726,22,748,97.06
DC,Democratic State,American Indian or Alaska Native,13060,188,13248,98.58
DC,Democratic State,Asian,4100,121,4221,97.13
DC,Democratic State,Black,1583,33,1616,97.96
DC,Democratic State,White,112,5,117,95.73
Delaware,Democratic State,American Indian or Alaska Native,21746,427,22173,98.07
Delaware,Democratic State,Asian,4211,128,4339,97.05
Delaware,Democratic State,Black,2054,71,2125,96.66
Delaware,Democratic State,White,159,4,163,97.55
Florida,Republican State,American Indian or Alaska Native,613516,18145,631661,97.13
Florida,Republican State,Asian,52640,2033,54673,96.28
Florida,Republican State,Black,31051,1005,32056,96.86
Florida,Republican State,Native Hawaiian,1005,30,1035,97.1
Florida,Republican State,White,3627,105,3732,97.19
Georgia,Democratic State,American Indian or Alaska Native,193308,5088,198396,97.44
Georgia,Democratic State,Asian,47799,1870,49669,96.24
Georgia,Democratic State,Black,30203,852,31055,97.26
Georgia,Democratic State,Native Hawaiian,273,4,277,98.56
Georgia,Democratic State,White,1394,42,1436,97.08
Hawaii,Democratic State,American Indian or Alaska Native,9571,314,9885,96.82
Hawaii,Democratic State,Asian,262,3,265,98.87
Hawaii,Democratic State,Black,13185,355,13540,97.38
Hawaii,Democratic State,Native Hawaiian,1580,63,1643,96.17
Hawaii,Democratic State,White,281,9,290,96.9
Idaho,Republican State,American Indian or Alaska Native,68118,4119,72237,94.3
Idaho,Republican State,Asian,417,23,440,94.77
Idaho,Republican State,Black,1461,115,1576,92.7
Idaho,Republican State,Native Hawaiian,150,11,161,93.17
Idaho,Republican State,White,634,50,684,92.69
Illinois,Democratic State,American Indian or Alaska Native,286421,5715,292136,98.04
Illinois,Democratic State,Asian,21928,807,22735,96.45
Illinois,Democratic State,Black,31842,711,32553,97.82
Illinois,Democratic State,Native Hawaiian,257,9,266,96.62
Illinois,Democratic State,White,1719,42,1761,97.61
Indiana,Republican State,American Indian or Alaska Native,173412,6012,179424,96.65
Indiana,Republican State,Asian,9922,330,10252,96.78
Indiana,Republican State,Black,11059,317,11376,97.21
Indiana,Republican State,Native Hawaiian,137,6,143,95.8
Indiana,Republican State,White,787,41,828,95.05
Iowa,Democratic State,American Indian or Alaska Native,88049,1584,89633,98.23
